#,Badge,Club,Competition,Expenditure ,Arrivals,Income,Departures,Balance,Position,Points
1,#VALUE!,Chelsea FC, Premier League,630.25,28,€67.86m,25,€-562.39m,12,44
2,#VALUE!,Manchester United, Premier League,243.28,24,€23.65m,19,€-219.63m,3,75
3,#VALUE!,Nottingham Forest, Premier League,198.35,42,€5.00m,26,€-193.35m,16,38
4,#VALUE!,West Ham United, Premier League,196.6,12,€21.55m,13,€-175.05m,14,40
5,#VALUE!,Arsenal FC, Premier League,186.4,25,€23.80m,18,€-162.60m,2,84
6,#VALUE!,Newcastle United, Premier League,185,15,€14.06m,12,€-170.94m,4,71
7,#VALUE!,Tottenham Hotspur, Premier League,179.9,15,€38.75m,14,€-141.15m,8,60
8,#VALUE!,Wolverhampton Wanderers, Premier League,179.51,31,€62.87m,27,€-116.64m,13,41
9,#VALUE!,Leeds United, Premier League,163.89,25,€114.50m,19,€-49.39m,19,31
10,#VALUE!,Manchester City, Premier League,155,29,€162.17m,24,€7.17m,1,89
11,#VALUE!,Southampton FC, Premier League,153.11,21,€5.50m,14,€-147.61m,20,25
12,#VALUE!,Liverpool FC, Premier League,145.8,11,€80.70m,13,€-65.10m,5,62
13,#VALUE!,Aston Villa, Premier League,113,23,€54.00m,22,€-59.00m,7,61
14,#VALUE!,AFC Bournemouth, Premier League,83.1,17,-,13,€-83.10m,15,39
15,#VALUE!,Everton FC, Premier League,83.07,19,€103.60m,21,€20.53m,17,36
16,#VALUE!,Fulham FC, Premier League,76.1,20,€25.40m,21,€-50.70m,10,52
17,#VALUE!,Brighton & Hove Albion, Premier League,55.7,21,€138.40m,23,€82.70m,6,62
18,#VALUE!,Brentford FC, Premier League,49.25,23,€3.60m,21,€-45.65m,9,59
19,#VALUE!,Leicester City, Premier League,49,10,€81.40m,9,€32.40m,18,34
20,#VALUE!,Crystal Palace, Premier League,46.6,16,€5.46m,13,€-41.15m,11,45
